person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25,34000,RENT,0.0,EDUCATION,C,10000,13.79,0.29,Y,2,yes
30,45000,MORTGAGE,5.0,VENTURE,B,8000,10.36,0.18,N,9,no
32,54000,MORTGAGE,9.0,VENTURE,C,13000,12.53,0.24,Y,10,no
27,69790,RENT,6.0,DEBTCONSOLIDATION,B,18000,10.25,0.26,N,9,no
28,79200,RENT,6.0,MEDICAL,A,10000,7.66,0.13,N,10,no
27,144000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,21000,13.57,0.15,Y,8,no
27,32000,RENT,6.0,EDUCATION,B,10000,12.42,0.31,N,8,yes
43,69000,RENT,0.0,DEBTCONSOLIDATION,A,2000,8.9,0.03,N,17,no
41,41435,RENT,,MEDICAL,E,10000,16.45,0.24,N,17,yes
26,33000,RENT,2.0,MEDICAL,B,3000,11.49,0.09,N,3,yes
25,77078,MORTGAGE,1.0,DEBTCONSOLIDATION,B,3425,12.18,0.04,N,2,no
28,604000,MORTGAGE,12.0,PERSONAL,B,25000,9.01,0.04,N,9,yes
26,69000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,,0.36,N,3,yes
34,32000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,2275,6.17,0.07,N,6,no
30,79000,RENT,5.0,EDUCATION,F,15000,,0.19,N,7,no
23,74000,MORTGAGE,4.0,VENTURE,B,20000,11.48,0.27,N,4,no
24,24000,RENT,,HOMEIMPROVEMENT,B,2000,12.69,0.08,N,2,yes
31,31692,RENT,2.0,VENTURE,D,13150,13.24,0.41,Y,5,yes
28,60000,RENT,3.0,PERSONAL,A,12000,6.17,0.2,N,6,no
22,35000,RENT,4.0,EDUCATION,C,5000,15.96,0.14,N,4,yes
22,60000,MORTGAGE,6.0,VENTURE,A,6125,6.17,0.1,N,3,no
23,44248,RENT,,EDUCATION,A,13200,,0.3,N,2,no
21,18701,MORTGAGE,0.0,PERSONAL,D,4200,14.11,0.22,Y,4,yes
22,48000,MORTGAGE,6.0,EDUCATION,A,9925,9.63,0.21,N,2,no
32,64600,MORTGAGE,12.0,MEDICAL,B,25000,11.36,0.33,N,5,yes
36,25200,MORTGAGE,0.0,EDUCATION,C,8700,12.23,0.35,Y,14,yes
27,60000,RENT,6.0,DEBTCONSOLIDATION,B,4500,12.69,0.07,N,7,no
26,75000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,8000,13.92,0.11,N,4,no
26,88000,RENT,2.0,VENTURE,D,25000,15.65,0.28,N,3,yes
33,75000,MORTGAGE,13.0,MEDICAL,B,25000,10.65,0.33,N,7,no
28,108000,RENT,2.0,DEBTCONSOLIDATION,D,20000,15.31,0.19,Y,8,yes
33,57500,MORTGAGE,0.0,MEDICAL,A,15000,6.03,0.26,N,7,no
26,18000,RENT,0.0,EDUCATION,B,1500,11.36,0.08,N,2,no
22,21120,MORTGAGE,3.0,DEBTCONSOLIDATION,D,1625,16.89,0.08,Y,3,yes
44,12000,OWN,5.0,HOMEIMPROVEMENT,B,2000,9.88,0.17,N,11,yes
23,21600,RENT,1.0,DEBTCONSOLIDATION,C,2400,15.23,0.11,N,4,yes
29,80000,RENT,2.0,MEDICAL,B,30000,12.42,0.38,N,9,yes
23,30000,MORTGAGE,3.0,MEDICAL,E,3800,18.64,0.13,N,2,yes
23,61000,MORTGAGE,,PERSONAL,A,10000,6.99,0.16,N,2,no
23,124000,RENT,2.0,PERSONAL,C,10000,14.27,0.08,N,3,no
22,18000,OWN,2.0,MEDICAL,C,4000,,0.22,N,2,yes
32,67150,MORTGAGE,4.0,MEDICAL,D,13000,16.0,0.16,Y,6,yes
24,40000,RENT,4.0,PERSONAL,B,20000,12.53,0.5,N,3,yes
22,42000,RENT,1.0,EDUCATION,C,10000,13.49,0.24,Y,4,no
32,107004,MORTGAGE,6.0,VENTURE,B,4200,11.71,0.04,N,8,no
23,30000,RENT,0.0,EDUCATION,C,8400,14.65,0.28,N,3,no
21,17000,RENT,,DEBTCONSOLIDATION,B,7000,10.62,0.41,N,2,yes
